"We can't find products matching the selection.","Chúng tôi không thể tìm thấy sản phẩm phù hợp với lựa chọn."
"New","Mới"
"Sale","Giảm giá"
"Add to Wish List","Thêm vào danh sách mong muốn"
"Add to Compare","Thêm để so sánh"
"Add to Cart","Thêm vào giỏ hàng"
"In stock","Còn hàng"
"Out of stock","Hết hàng"
"Learn More","Tìm hiểu thêm"
"Related Products","Sản phẩm liên quan"
"We found other products you might like!","Chúng tôi đã tìm thấy các sản phẩm khác mà bạn có thể thích!"
"More Choices:","Lựa chọn khác:"
"New Products","Sản phẩm mới"
"Check items to add to the cart or","Chọn sản phẩm để thêm vào giỏ hàng hoặc"
"select all","chọn tất cả"
"Qty","Số lượng"
"Email","Email"
"Now Shopping by","Hiện đang mua sắm theo"
"Previous","Trước đó"
"Remove","Xóa"
"Remove This Item","Xóa mục này"
"Shop By","Mua sắm theo"
"Clear All","Xóa tất cả"
"Shopping Options","Tùy chọn mua sắm"
"Sign Up for Our Newsletter:","Đăng ký để nhận tin tức của chúng tôi:"
"Enter your email address","Nhập địa chỉ email của bạn"
"Subscribe","Đăng ký"
"<i class=""fa fa-long-arrow-right"" aria-hidden=""true""></i>","<i class=""fa fa-long-arrow-right"" aria-hidden=""true""></i>"
"Recently Ordered","Đặt hàng gần đây"
"Last Ordered Items","Các mặt hàng được đặt hàng cuối cùng"
"View All","Xem tất cả"
"Home","Trang chủ"
"Best Seller","Bán chạy nhất"
"Multi cooker 9 Liters","Nồi nấu 9 lít đa năng"
"Sharp Dynabook VE1.5","Sharp Dynabook VE1.5"
"New Zealand Cherry","Trái anh đào New Zealand"
"Sharp Face mask FDA certified","Mặt nạ Sharp được chứng nhận FDA"
"Sharp Healsio AX-1700","Sharp Healsio AX-1700"
"Cirtus Juicer","Máy ép trái cây Citrus"
"Blender","Máy xay sinh tố"
"Electric Oven","Lò điện"
"Air Purifier","Máy tạo không khí sạch"
"Air-Conditioner","Máy lạnh"
"Refrigerator","Tủ lạnh"
"Deals Of The Day","Ưu đãi trong ngày"
"QUICK LINKs","Liên kết nhanh"
"Terms & Conditions","Điều khoản và điều kiện"
"Privacy Policies","Chính sách bảo mật"
"Delivery - Return - Warranty","Giao hàng - Đổi trả - Bảo hành"
"Payment Methods","Phương thức thanh toán"
"Loyalty Program","Chương trình khách hàng thân thiết"
"COMPANY","CÔNG TY"
"About us","Về chúng tôi"
"FAQs","Câu hỏi thường gặp"
"Follow us","Theo dõi chúng tôi"
"Our Mobile Apps","Ứng dụng di động của chúng tôi"
"© 2023 Cocoro Life. All Rights Reserved","© 2023 Cocoro Life. Bảo lưu mọi quyền"
"Our Payment Provider","Nhà cung cấp thanh toán của chúng tôi"
"Free Delivery","Giao hàng miễn phí"
"For all orders over 1,000,000đ","Cho tất cả đơn hàng trên 1,000,000đ"
"Authentic Products","Sản phẩm chính hãng"
"Legitimate origin","Xuất xứ hợp pháp"
"Secure Payment","Thanh toán an toàn"
"100% secure payment","Thanh toán 100% an toàn"
"24/7 support","Hỗ trợ 24/7"
"Dedicated support","Hỗ trợ tận tâm"
"My Cart","Giỏ hàng của tôi"
"Login","Đăng nhập"
"Register","Đăng ký"
"News","Tin tức"
"How To Make A Fresh Juice Blended For Your Family?","Cách làm nước ép tươi ngon cho gia đình bạn?"
"Organic","Hữu cơ"
"Your Recently Viewed Products","Sản phẩm bạn vừa xem gần đây"
"Top Categories Of The Month","Các danh mục hàng đầu trong tháng"
"TV Televisions","Truyền hình TV"
"Smart TV","TV thông minh"
"4K Ultra HD TVs","TV 4K Ultra HD"
"LED TVs","TV LED"
"OLED TVs","TV OLED"
"Accessories","Phụ kiện"
"Personal Care","Chăm sóc cá nhân"
"Face mask","Mặt nạ"
"Face shield","Màn bảo vệ khuôn mặt"
"Small Appliances","Thiết bị nhỏ gọn"
"Microwave oven","Lò vi sóng"
"Air Fryer","Nồi chiên không dầu"
"Rice cooker","Nồi cơm điện"
"Kettle","Ấm đun nước"
"Jar pot","Bình đun nước"
"Consumer Goods","Sản phẩm tiêu dùng"
"Washing and","Máy giặt và"
"Cleanser","Sản phẩm làm sạch"
"Home care","Chăm sóc nhà cửa"
